Element, I1_1, Ang1_1, I1_2, Ang1_2, I1_3, Ang1_3, I1_4, Ang1_4, Iresid1, AngResid1, I2_1, Ang2_1, I2_2, Ang2_2, I2_3, Ang2_3, I2_4, Ang2_4, Iresid2, AngResid2
Vsource.SOURCE,    2.32605,   179.60,    2.32605,    59.60,    2.32605,   -60.40,          0,     0.00, 9.71341E-013,  -110.56,    2.32605,    -0.40,    2.32605,  -120.40,    2.32605,   119.60,          0,     0.00, 9.71341E-013,    69.44
Transformer.TR1,    2.32605,    -0.40,    2.32605,  -120.40,    2.32605,   119.60,          0,     0.00, 5.14488E-012,    45.00,    61.6544,   149.60,    61.6544,    29.60,    61.6544,   -90.40, 1.19472E-008,   -33.07, 2.32831E-010,   -90.00
Reactor.R1,    61.6544,   -30.40,    61.6544,  -150.40,    61.6544,    89.60,          0,     0.00, 1.212E-008,   -30.78,    61.6544,   149.60,    61.6544,    29.60,    61.6544,   -90.40,          0,     0.00, 1.212E-008,   149.22
Line.LINE1,    30.8726,   -30.44,    30.8726,  -150.44,    30.8726,    89.56,          0,     0.00, 6.0771E-009,   -30.89,    30.8726,   149.56,    30.8726,    29.56,    30.8726,   -90.44,          0,     0.00, 6.0771E-009,   149.11
Line.LINE2,    15.4454,   -30.45,    15.4454,  -150.45,    15.4454,    89.55,          0,     0.00, 3.03981E-009,   -30.77,    15.4454,   149.55,    15.4454,    29.55,    15.4454,   -90.45,          0,     0.00, 3.03981E-009,   149.23
Line.LINE3, 1.92933E-012,    45.00, 1.01685E-012,  -153.43, 4.06738E-012,   -63.43,          0,     0.00, 3.55169E-012,   -50.19, 1.92933E-012,  -135.00, 1.01685E-012,    26.57, 4.06738E-012,   116.57,          0,     0.00, 3.55169E-012,   129.81
Load.LOAD1,    15.3908,   -30.36,    15.3908,  -150.36,    15.3908,    89.64, 3.02075E-009,   149.28,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Load.LOAD2,    15.4271,   -30.42,    15.4271,  -150.42,    15.4271,    89.58, 3.03494E-009,   149.16,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Load.LOAD3,    15.4452,   -30.45,    15.4452,  -150.45,    15.4452,    89.55, 3.04207E-009,   149.10,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Load.LOAD4,    15.3908,   -30.36,    15.3908,  -150.36,    15.3908,    89.64, 3.02075E-009,   149.28,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
